model,parameters,dataset,tokens,tokens_per_parameter,common_validation_loss,common_validation_perplexity,wikitext_ppl,wikitext_bpb,hellaswag,arc_easy,piqa,winogrande,training_tokens_per_second,cumulative_training_seconds,peak_rss_bytes,seed,checkpoint_sha256,hf_revision
Co4-S,8923392,DATA-C,10000000,1.1206500846,3.6261813789606094,37.56908027416645,145.97471490083535,,0.25801633140808605,0.2777777777777778,0.5244831338411317,0.500394632991318,7752.818254950391,1289.8535308259961,2804047872,314159,5a9f33ff95c0c0ad4f103abfe4de1db13dc52a82cdf8f4b3c8e6f1b746d16fc7,0ab7f9d033d5b1c50ac0f21d688371951879b5e0
Co4-S,8923392,DATA-C,25000000,2.8016252116,3.4008999168872833,29.991077383901626,115.52927539957068,2.189282075870736,0.2583150766779526,0.2937710437710438,0.5195865070729053,0.489344909234412,7552.589547581373,3275.9273013519705,2869112832,314159,ec834e8016c52cead167e75ab37be4570a0e0e316f5e3f7a4e42d12d909e8e5c,22f07105a26e2743b32c1b3aec21ec460242f920
Co4-L,15949760,DATA-C,10000000,0.6269686817,3.5749310553073883,35.69215994582878,,,,,,,4989.9251462456905,2004.038078111007,3132907520,314159,0835a3ba9fa374ed7b6c45a073e503c25b31190949b69b8cfcbcd5fb40690cb8,
Co4-L,15949760,DATA-C,25000000,1.5674217042,3.3286044895648956,27.899380647452972,102.55100569319396,2.1343538565928064,0.26010754829715194,0.2845117845117845,0.5201305767138193,0.48145224940805054,4964.971444095164,5035.275687180936,3132907520,314159,35bbbe4dd1ba1ee75f191a647ede62192bc16ca792db6ce3733ec34ea18088de,4bd98a6f87f5d4594cd7fe0ba3aa28c659e5ae32
Co4-L,15949760,DATA-C,50000000,3.1348434083,3.2081798762083054,24.734026240028594,79.67925015942225,2.018033206450873,0.2629954192391954,0.2962962962962963,0.5418933623503809,0.5059194948697711,4981.672485245513,10053.670628647651,3039940608,314159,444b41c191cc42a8b7844cfc33623d857fd0602c0f1a8975dd25da50ad2b13fc,
Co4-L,15949760,DATA-C,100000000,6.2696868166,3.1347223222255707,22.982253294983767,72.58226007369672,1.9750320135756911,0.26419040031866164,0.2975589225589226,0.5337323177366703,0.4964483030781373,4894.750700246448,20268.695470971597,3278340096,314159,3bf27b6097771e37b3c58074ae7514193d79c098e85007949b56cef4b7603cb4,95d27f1c012893d12e34005b067a58a666fd472b
