model,parameters,tokens,tokens_per_parameter,data_d_validation_loss,fineweb_edu_validation_loss,wikipedia_validation_loss,fineweb_validation_loss,wikitext_ppl,wikitext_bpb,hellaswag,arc_easy,piqa,winogrande,tok_per_second,wall_time_seconds,cpu_hours,peak_rss_bytes
Co4-L,15949760,100000000,6.269686816604137,3.465799629688263,3.4668063521385193,3.2836159020662308,3.7189749032258987,60.1218587924344,1.88821387326511,0.26757618004381595,0.2925084175084175,0.5413492927094669,0.505130228887135,,,,
Co4-24,24097200,50000000,2.074929867370483,3.4899538457393646,3.4674437046051025,3.386530190706253,3.6540959775447845,66.4158642936462,1.9341069612810018,,,,,4404.252924495144,11352.663177429,50.45628078857333,5554827264
Co4-24,24097200,100000000,4.149859734740966,3.3746188133955,3.3462404757738113,3.255572721362114,3.540573388338089,56.78858412763232,1.8619222651914302,,,,,4599.009170607895,22224.570178517024,98.77586746007566,5775785984
Co4-24,24097200,150000000,6.224789602111449,3.3373186141252518,3.298686131834984,3.217846840620041,3.500952497124672,53.743070694724786,1.8365145612332932,0.2640908185620394,0.30134680134680136,0.5348204570184983,0.4909234411996843,4642.208096561597,32995.30663840001,146.64580728177782,5709299712
Co4-32,32678640,50000000,1.5300514342090124,3.4686472415924072,3.4509977400302887,3.365374878048897,3.6337877213954926,65.37657486806349,1.9268369238143004,,,,,3368.6930376126666,14842.551530143013,65.9668956895245,5851136000
Co4-32,32678640,100000000,3.0601028684180247,3.343999445438385,3.3307755291461945,3.2285770177841187,3.506301626563072,55.1058765645942,1.8480574388270712,,,,,3358.8503387859582,29728.597336540057,132.12709927351136,5904314368
Co4-32,32678640,150000000,4.590154302627037,3.306745395064354,3.2766002416610718,3.1795510351657867,3.474430024623871,51.97466766278671,1.8210920344588402,,,,,3375.833844366347,44539.75283326005,197.95445703671132,5901090816
Co4-32,32678640,205000000,6.273210880256951,3.263039782643318,3.244509682059288,3.1351048052310944,3.4409416019916534,47.48659379731152,1.7794643080504575,0.262796255725951,0.3063973063973064,0.5397170837867247,0.4925019731649566,3357.17547435075,60922.57238505501,270.7669883780223,5947654144
