dataset,documents,words,characters,tokens,chars_per_token,words_per_token,tokens_per_word,unknown_tokens,unknown_rate,token_length_p50_document,token_length_p95_document,extremely_short_document_rate,non_ascii_character_rate,exact_duplicate_rate,token_vocabulary_observed,token_repetition_rate,byte_compression_ratio,fallback_behavior
BabyLM Strict,11485880,101730648,524727244,187825322,2.7936980935935782,0.541623711418421,1.8463002614512,0,0.0,6.0,40,0.00844654480109491,0.0015062034781636,0.264,4026,0.9999999893518084,0.6984245233983946,byte-level; no UNK expected
FineWeb-Edu,13875,10671393,64140398,20000582,3.2069265784365677,0.533554123575004,1.874224105512748,0,0.0,491,2170,0.0,0.0025752568607385617,0.0,4016,0.9999995000145496,0.8017316446091419,byte-level; no UNK expected
