checkpoint,nominal_tokens,training_tokens,step,train_loss,common_validation_loss,common_validation_perplexity,babylm_validation_loss,finewebedu_validation_loss,cumulative_training_seconds,interval_training_seconds,tokens_per_second,peak_rss_bytes,learning_rate,babylm_tokens,finewebedu_tokens,babylm_sequences_drawn,finewebedu_sequences_drawn,checkpoint_sha256,preemptions,infrastructure_downtime_seconds
final-gcp-3072,3072,3072,3,8.05185317993164,7.9199046194553375,2751.5085928255417,7.833299905061722,8.053831279277802,2.2034933249997266,2.2034933249997266,1394.1499005904095,2701033472,0.0003,2304,768,18,6,fcb717fe57bbc4ed94972817bb478c162d5bafa71fc46accdd048c270f643b42,0,0.0
final-gcp-5120,5120,5120,5,7.774263858795166,7.80534240603447,2453.6755554432843,7.702619761228561,7.987252980470657,2.465078000998801,0.26158467599907453,7829.204796412637,2754719744,0.0003,3840,1280,30,10,a046090d9538adf116dc2b243dd0ff7d3b74c2e266b3e953878930f76556d78c,0,0.0
