model,parameters,tokens,tokens_per_parameter,data_d_validation_loss,wikitext_ppl,wikitext_bpb
Co4-L,15949760,100000000,6.269686816604137,3.465799629688263,60.1218587924344,1.88821387326511
Co4-24,24097200,50000000,2.074929867370483,3.4899538457393646,66.4158642936462,1.9341069612810018
Co4-24,24097200,100000000,4.149859734740966,3.3746188133955,56.78858412763232,1.8619222651914302
Co4-24,24097200,150000000,6.224789602111449,3.3373186141252518,53.743070694724786,1.8365145612332932
