model,parameters,training_tokens,tokens_per_parameter,common_validation_loss,common_validation_perplexity,tokens_per_second,cumulative_training_seconds,peak_rss_bytes,checkpoint_sha256
Co4-S,8923392,25000000,2.801625211578736,3.4008999168872833,29.991077383901626,7552.589547581373,3275.9273013519705,2869112832,ec834e8016c52cead167e75ab37be4570a0e0e316f5e3f7a4e42d12d909e8e5c
Co4-L,15949760,25000000,1.5674217041510343,3.3286044895648956,27.899380647452972,4964.971444095164,5035.275687180936,3132907520,35bbbe4dd1ba1ee75f191a647ede62192bc16ca792db6ce3733ec34ea18088de
