policy,prefix_tokens,pilot_tokens,total_tokens,final_context,final_batch_size,validation_loss,validation_perplexity,cumulative_wall_seconds,pilot_wall_seconds,tokens_per_second,peak_rss_bytes,status
fixed_128,1048576,262144,1310720,128,8,3.872539,48.06426,993.7373,200.738,1318.98,1900838912,retain_fixed
curriculum_128_to_256,1048576,262144,1310720,256,4,3.978874,53.45683,995.4194,202.4201,1316.752,1905065984,pruned
