run_id,lr_fraction,training_tokens,parameters,common_validation_loss,data_d_validation_loss,wikitext_ppl,wikitext_bpb,hellaswag,arc_easy,piqa,winogrande,hf_revision,data_d_tokens,lattice_reason_tokens,lattice_reason_validation_loss,lattice_reason_family_entity_reference_validation_loss,lattice_reason_difficulty_1_validation_loss,lattice_reason_difficulty_2_validation_loss,lattice_reason_difficulty_3_validation_loss,lattice_reason_difficulty_4_validation_loss,lattice_reason_difficulty_5_validation_loss,lattice_reason_difficulty_6_validation_loss,lattice_reason_family_state_tracking_validation_loss,lattice_reason_family_spatial_relational_validation_loss,lattice_reason_family_temporal_causal_validation_loss,lattice_reason_family_boolean_logical_validation_loss,lattice_reason_family_arithmetic_quantity_validation_loss,lattice_reason_family_procedural_planning_validation_loss,lattice_reason_family_physical_closed_world_validation_loss,fineweb_edu_validation_loss,wikipedia_validation_loss,fineweb_validation_loss,tokens_per_second,wall_seconds,checkpoint_sha256,raw_gibc,hf_path,remote_sha256_verified,remote_file_sha256
LR-0,0.0,25000000,15949760,4.464799,3.695686,83.40936,2.03912,0.262896,0.283249,0.534276,0.498027,1cf7116faf4b2896594239c83008518bcc84c37d,,,,,,,,,,,,,,,,,,,,,,,,,,,
LR-10,0.1,25000000,15949760,4.519487053155899,3.744275823235512,91.81058593004697,2.0833579764710684,0.26269667396932883,0.28619528619528617,0.5386289445048966,0.5074980268350434,837ca620994d1b332deaf94b81b7dd7d3f8e7082,22499904,2500096,0.7534099528566003,1.920986331999302,0.6385697796940804,0.7021101219579577,0.7941764127463102,0.7695093937218189,0.7938802875578403,0.8371956963092089,0.32032912597060204,1.9457928910851479,0.25525335408747196,0.14490061532706022,0.4375707730650902,0.15285515878349543,0.15683889389038086,3.7364232391119003,3.6223615407943726,3.990658789873123,4961.172933172388,5039.130934711022,b46408d21d00e3d91dd34dfa148c8ae98ad44d4de4f4e6618532e53c68ad2fad,artifacts/lattice_reason/lr-10/gibc-25000000.json,experiments/post-tournament/lr-10-25000000,True,"{'config.json': '2f4772872cecc5fba403e31f51e5b7272f0769a35d35e9c99824126b8a3d24d9', 'metrics.json': '55f41f8b456809be09ebb734ab4b6363a866f2a87e7ef0ce03b598a1884983e3', 'model.safetensors': '62e1502e6500feb4a2c1433adfcf8d205fe2cdb216a405f84cf36a9c06181076', 'resume_state.pt': 'a575733ba64a191380d0554e6079e9bbdc198dab3e9031517b4564ad288b1738', 'tokenizer.json': '4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5', 'tokenizer.report.json': 'd5962451981c1c9dc61eb50ff407c919d2ec18ca279411722bf7e65ea9df9bb2', 'training_manifest.json': '409d8d9f1ce05089c29f02c57f5b5e98c7f89109c35b55f9b45d0cede0a824d5'}"
LR-25,0.25,25000000,15949760,4.548305481672287,3.8113966584205627,95.34744849916186,2.100781783404424,0.2593108942441745,0.29292929292929293,0.5364526659412405,0.5082872928176796,530ef189103d8959d02188c9487fe376462f8820,18750016,6249984,0.800057914108038,2.1941978931427,0.6914507914334536,0.7343073645606637,0.8443646766245365,0.8133986424654722,0.8472870867699385,0.8807637039572,0.27857744321227074,2.1299517527222633,0.1958745550364256,0.1277910708449781,0.41008589416742325,0.13286311412230134,0.12277436768636107,3.804994225502014,3.7030778229236603,4.040846407413483,4924.406202438238,5076.754226249992,43ee58993c7bd40706e4ceb4a9c0f27b007eb03dbe35bdbbb8b0b0014e201a31,artifacts/lattice_reason/lr-25/gibc-25000000.json,experiments/post-tournament/lr-25-25000000,True,"{'config.json': '2f4772872cecc5fba403e31f51e5b7272f0769a35d35e9c99824126b8a3d24d9', 'metrics.json': 'b90f4746e827b4462e45318f625c5f3e89e9a7602c34aacd7d0fab33a22c8b39', 'model.safetensors': '64ecf9b1896d09e1ea1d2a35fb869225e16b8286bf070f7e160bbd5b82c07db9', 'resume_state.pt': 'b14c024e6cfe6d7713d144138d76a8bd1ae79622739a53dc10b597b74d0fde4a', 'tokenizer.json': '4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5', 'tokenizer.report.json': 'd5962451981c1c9dc61eb50ff407c919d2ec18ca279411722bf7e65ea9df9bb2', 'training_manifest.json': 'cf8b3335553fa7c481659e0ff082d76dbdd9f4c83f847e1512ed6f13b6a5980f'}"
DATA-D-ONLY,0.0,100000000,15949760,4.017913281917572,3.465799629688263,60.1218587924344,1.88821387326511,0.26757618004381595,0.2925084175084175,0.5413492927094669,0.505130228887135,5ae234a6a9c127ede46768baaf7f0d40892e2df7,,,,,,,,,,,,,,,,,,3.4668063521385193,3.2836159020662308,3.7189749032258987,,,50d8cdf06adec7693a3d07cda574c4e00a93b1fd0c2d2381c0a4ad00fc3efe5e,,experiments/post-tournament/data-d-only-100m,,"{'config.json': '2f4772872cecc5fba403e31f51e5b7272f0769a35d35e9c99824126b8a3d24d9', 'metrics.json': '2b1f394487bca967ca2d2497613793fb27c4712a692f060d290dc4daa379e204', 'model.safetensors': 'f4810274d3106d1622f9aa63adb1358dbf8a625538eeb3720d63ae9c97ceacb4', 'resume_state.pt': 'd17d959057a8a0646d1f76dd94db0c74e3929a068ada3ee6c62e358d485c3ccb', 'tokenizer.json': '4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5', 'tokenizer.report.json': 'd5962451981c1c9dc61eb50ff407c919d2ec18ca279411722bf7e65ea9df9bb2', 'training_manifest.json': 'e60c366b39b238c4acd17b4023eda096bb6bc6ebe21d23038576701a31e2ca6a'}"
