run_id,lr_fraction,training_tokens,data_d_tokens,lattice_reason_tokens,step,train_loss,common_validation_loss,data_d_validation_loss,lattice_reason_validation_loss,lattice_reason_family_entity_reference_validation_loss,lattice_reason_difficulty_1_validation_loss,lattice_reason_difficulty_2_validation_loss,lattice_reason_difficulty_3_validation_loss,lattice_reason_difficulty_4_validation_loss,lattice_reason_difficulty_5_validation_loss,lattice_reason_difficulty_6_validation_loss,lattice_reason_family_state_tracking_validation_loss,lattice_reason_family_spatial_relational_validation_loss,lattice_reason_family_temporal_causal_validation_loss,lattice_reason_family_boolean_logical_validation_loss,lattice_reason_family_arithmetic_quantity_validation_loss,lattice_reason_family_procedural_planning_validation_loss,lattice_reason_family_physical_closed_world_validation_loss,fineweb_edu_validation_loss,wikipedia_validation_loss,fineweb_validation_loss,tokens_per_second,wall_seconds,peak_ram_bytes,checkpoint_sha,lr_entity_reference_tokens,lr_state_tracking_tokens,lr_spatial_relational_tokens,lr_temporal_causal_tokens,lr_boolean_logical_tokens,lr_arithmetic_quantity_tokens,lr_procedural_planning_tokens,lr_physical_closed_world_tokens
LR-10,0.1,5000192,4500096,500096,4883,3.671147584915161,4.9128755033016205,4.200023770332336,0.8096134904772043,2.046063795685768,0.7147867754101753,0.7573305182158947,0.8375919098034501,0.8232308644801378,0.8484723344445229,0.886371485888958,0.37273039296269417,1.9034858718514442,0.31060015596449375,0.19510467164218426,0.5073527563363314,0.21702758688479662,0.20158434752374887,4.188304826617241,4.149534121155739,4.421949356794357,5054.471376450437,989.2611170570017,1714724864,7efb0ca0866019c0cd495eea534a4e87cf8ee6bcadf22e450c26599ac4fc525f,75264,75264,75008,74880,74880,49920,49920,24960
LR-10,0.1,10000384,9000320,1000064,9766,3.280925750732422,4.703767538070679,3.9879798591136932,0.813327468931675,2.0631051138043404,0.6893207039684057,0.7593336030840874,0.8417648514732718,0.8220628537237644,0.8587067816406488,0.8936752006411552,0.3699272871017456,1.9625447243452072,0.2901874762028456,0.18218980077654123,0.48513777181506157,0.19804603978991508,0.1882426841184497,3.9796386063098907,3.9204851388931274,4.20977383852005,5003.4849796197395,1998.6837255900027,1714724864,31653ccf9cba62128a7d870b9b6c32298f0594fed95c2ca6cc63a90c81542f99,150144,150144,150144,150144,149888,99840,99840,49920
LR-10,0.1,15000576,13500416,1500160,14649,3.4669833183288574,4.611858576536179,3.8782406002283096,0.8270494723692536,2.1109863072633743,0.7069114558398724,0.7599115604534745,0.8675957676023245,0.8393325712531805,0.8734291587024927,0.9135692287236452,0.3470476884394884,2.092173643410206,0.27377002872526646,0.15793415252119303,0.4558026511222124,0.18058923445641994,0.18251789268106222,3.874324679374695,3.800704464316368,4.107958495616913,4980.208249554102,3012.037900492025,1715613696,c21d0d09747489190335709192f0a27b1cd6a3952c2b17900aa21dc9e20985cc,225024,225024,225024,225024,225024,150016,150016,75008
LR-10,0.1,20000768,18000640,2000128,19532,3.4210023880004883,4.583785444498062,3.8079278767108917,0.7604051735252142,1.9414089396595955,0.6427323259413242,0.703682154417038,0.807837444357574,0.7831596899777651,0.8089048806577921,0.8498217854648829,0.3312276341021061,1.9448667392134666,0.26239816658198833,0.14466806035488844,0.43776287138462067,0.16331268474459648,0.15747615601867437,3.7905494272708893,3.7165497839450836,4.039856433868408,4967.577073890544,4026.2622406250157,1715613696,e6d6ba1d157b65f03eb93fe29eda63e46161bbb5a24a3dc756fca5a43b059776,300288,300288,299904,299904,299904,199936,199936,99968
LR-10,0.1,25000000,22499904,2500096,24415,3.764188766479492,4.519487053155899,3.744275823235512,0.7534099528566003,1.920986331999302,0.6385697796940804,0.7021101219579577,0.7941764127463102,0.7695093937218189,0.7938802875578403,0.8371956963092089,0.32032912597060204,1.9457928910851479,0.25525335408747196,0.14490061532706022,0.4375707730650902,0.15285515878349543,0.15683889389038086,3.7364232391119003,3.6223615407943726,3.990658789873123,4961.172933172388,5039.130934711022,1715613696,b46408d21d00e3d91dd34dfa148c8ae98ad44d4de4f4e6618532e53c68ad2fad,375168,375168,375168,375168,374784,249856,249856,124928
LR-25,0.25,5000192,3750144,1250048,4883,3.4855751991271973,4.907498866319656,4.271631747484207,0.8247197419404984,2.2131868451833725,0.7219286561012268,0.7730443319305778,0.8775335717946291,0.8441108651459217,0.879275357350707,0.9103807453066111,0.33420903608202934,2.125323638319969,0.22989060916006565,0.14874201640486717,0.4290654566138983,0.1661135433241725,0.1466373447328806,4.254380136728287,4.188549518585205,4.465338289737701,5017.479849302396,996.554475589015,1715675136,6d1085b6eafb48f0464c2bd5af1cc4f7363658dd5ff2005456730f5ed6604202,187776,187776,187392,187392,187392,124928,124928,62464
LR-25,0.25,10000384,7500288,2500096,9766,3.060800552368164,4.756036847829819,4.0485855638980865,0.8218335900455713,2.248314917087555,0.6950176972895861,0.7606243463233113,0.8618873655796051,0.8355224281549454,0.8711458873003721,0.9148137886077166,0.3169005308300257,2.118062250316143,0.21104983054101467,0.1411799881607294,0.4201247785240412,0.13663279451429844,0.1297717271372676,4.04041388630867,3.984499543905258,4.2723579704761505,4963.660248440873,2014.7196825449937,1716191232,eb90c2903acd269d0744f46d257aef8eea56490750d3366d476086eb19018e57,375168,375168,375168,375168,374784,249856,249856,124928
LR-25,0.25,15000576,11250432,3750144,14649,2.990481376647949,4.683009684085846,3.9278492629528046,0.8107459424063563,2.2309905886650085,0.7011810075491667,0.7494131708517671,0.8490872029215097,0.8221145812422037,0.8490446861833334,0.8919050227850676,0.29361495561897755,2.0949998274445534,0.2033693538978696,0.13556784484535456,0.41788635589182377,0.13631780026480556,0.1350825224071741,3.931249111890793,3.852865904569626,4.156040444970131,4944.701807443423,3033.666454349004,1716432896,97444a8ea5510cd384e079015dd4bfac2ff3229b3be71467c5a76b60e6d00fe4,562560,562560,562560,562560,562560,375040,374912,187392
LR-25,0.25,20000768,15000576,5000192,19532,2.8692541122436523,4.662220329046249,3.8737106025218964,0.8084575850516558,2.2284032702445984,0.7038459870964289,0.7501195166260004,0.8545294664800167,0.8157766778022051,0.8467279132455587,0.8852780815213919,0.28669385612010956,2.0993624180555344,0.20598925277590752,0.1337483716197312,0.4073194395750761,0.13318999484181404,0.13243942614644766,3.845848321914673,3.7900774776935577,4.091135457158089,4931.527903736041,4055.6939736359927,1716432896,af6600213a1aa05cfec68d71ff98341f438bbd023d2fca5843fa1cd4bc7febb4,750336,750080,749952,749952,749952,499968,499968,249984
LR-25,0.25,25000000,18750016,6249984,24415,3.9272708892822266,4.548305481672287,3.8113966584205627,0.800057914108038,2.1941978931427,0.6914507914334536,0.7343073645606637,0.8443646766245365,0.8133986424654722,0.8472870867699385,0.8807637039572,0.27857744321227074,2.1299517527222633,0.1958745550364256,0.1277910708449781,0.41008589416742325,0.13286311412230134,0.12277436768636107,3.804994225502014,3.7030778229236603,4.040846407413483,4924.406202438238,5076.754226249992,1716432896,43ee58993c7bd40706e4ceb4a9c0f27b007eb03dbe35bdbbb8b0b0014e201a31,937728,937728,937600,937344,937344,624896,624896,312448
