model,parameters,training_tokens,tokens_per_parameter,common_validation_loss,common_validation_perplexity,tokens_per_second,cumulative_training_seconds,peak_rss_bytes,checkpoint_sha256
Co4-S,8923392,10000000,1.1206500846314944,3.6261813789606094,37.56908027416645,7752.818254950391,1289.8535308259961,2804047872,5a9f33ff95c0c0ad4f103abfe4de1db13dc52a82cdf8f4b3c8e6f1b746d16fc7
Co4-L,15949760,10000000,0.6269686816604138,3.5749310553073883,35.69215994582878,4989.9251462456905,2004.038078111007,3132907520,0835a3ba9fa374ed7b6c45a073e503c25b31190949b69b8cfcbcd5fb40690cb8
