model,round,parameters,embedding_parameters,output_head_parameters,co4_parameters,ffn_parameters,other_parameters,active_parameters_per_token,training_tokens,wall_seconds,tokens_per_second,peak_rss_bytes,train_loss,validation_loss,validation_perplexity,train_validation_gap,wall_seconds_per_1m_tokens,quality_per_cpu_hour,status
Co4-S,S1,8923392,1048576,1048576,1579008,4718592,528640,8923392,524288,267.7303,1958.27,1537548288,5.090389,4.773466,118.32867,-0.316923,510.655,0.05681788,pruned
Co4-M,S1,10997280,1179648,1179648,1997568,5971968,668448,10997280,524288,311.1202,1685.162,1603330048,5.051229,4.7477,115.3188,-0.303529,593.415,0.05017001,pruned
Co4-L,S1,15949760,1310720,1310720,3081600,9216000,1030720,15949760,524288,412.5871,1270.733,1857990656,4.618654,4.359533,78.22057,-0.259121,786.947,0.05577453,retained
Co4-XL,S1,22334592,1572864,1572864,4435200,13271040,1482624,22334592,524288,526.4961,995.806,2088148992,4.628433,4.362815,78.4777,-0.265618,1004.212,0.04356433,pruned
Co4-L,S2,15949760,1310720,1310720,3081600,9216000,1030720,15949760,1048576,824.318,1272.053,1929781248,3.98642,3.99051,54.08245,0.00409,786.131,0.04037582,retained
