model,parameters,training_tokens,wall_seconds,tokens_per_second,validation_loss,validation_perplexity,peak_rss_bytes,loss_gain_vs_co4_s,relative_perplexity_improvement_vs_co4_s,additional_parameters_vs_co4_s,additional_wall_seconds_vs_co4_s,loss_improvement_per_additional_million_parameters,perplexity_improvement_per_additional_million_parameters
Co4-S,8923392,3145728,1529.987,2056.049,3.523641,33.90766,1525002240,0.0,0.0,0,0.0,0,0
Co4-L,15949760,3145728,2401.6371,1309.827,3.497365,33.0283,1912020992,0.026276000000000188,0.025933963004229673,7026368,871.6500999999998,0.0037396276426170947,0.12515142958638067
