comparison,metric,control,candidate,absolute_difference,relative_difference
DATA-D seed 314159 vs seed 2026,data_d_validation_loss,3.465799629688263,3.4700144231319427,0.00421479344367981,0.0012161099584568067
DATA-D seed 314159 vs seed 2026,fineweb_edu_validation_loss,3.4668063521385193,3.4685002118349075,0.0016938596963882446,0.0004885936866197841
DATA-D seed 314159 vs seed 2026,wikipedia_validation_loss,3.2836159020662308,3.3020965307950974,0.018480628728866577,0.005628133521109322
DATA-D seed 314159 vs seed 2026,fineweb_validation_loss,3.7189749032258987,3.719732105731964,0.0007572025060653687,0.00020360516695301143
DATA-D seed 314159 vs seed 2026,wikitext_ppl,60.1218587924344,65.61171328380885,5.489854491374452,0.09131212177467278
DATA-D seed 314159 vs seed 2026,wikitext_bpb,1.88821387326511,1.9284918293989646,0.04027795613385465,0.021331246795791087
DATA-D seed 314159 vs seed 2026,hellaswag,0.26757618004381595,0.261202947619996,-0.00637323242381993,-0.023818384815779584
DATA-D seed 314159 vs seed 2026,arc_easy,0.2925084175084175,0.2937710437710438,0.0012626262626262985,0.004316546762590051
DATA-D seed 314159 vs seed 2026,piqa,0.5413492927094669,0.5457018498367792,0.0043525571273123065,0.008040201005025144
DATA-D seed 314159 vs seed 2026,winogrande,0.505130228887135,0.5130228887134964,0.007892659826361448,0.015624999999999927
