checkpoint,nominal_tokens,training_tokens,step,train_loss,common_validation_loss,common_validation_perplexity,babylm_validation_loss,finewebedu_validation_loss,cumulative_training_seconds,interval_training_seconds,tokens_per_second,peak_rss_bytes,learning_rate,babylm_tokens,finewebedu_tokens,babylm_sequences_drawn,finewebedu_sequences_drawn,checkpoint_sha256,preemptions,infrastructure_downtime_seconds
final-gcp-1000000,1000000,1000448,977,4.734339237213135,4.558659762144089,95.45546103897601,4.155969604849815,5.368447721004486,129.2844526360177,129.2844526360177,7738.3473387679605,2725089280,0.0003,750336,250112,5862,1954,e2b6c45346952ab4ce64b682f12dc31e6b7fb19c2d6e2af3051f09114441519d,0,0.0
final-gcp-3000000,3000000,3000320,2930,3.8447659015655518,3.9747865349054337,53.23875107764161,3.6669174134731293,4.632876694202423,388.56567364600687,259.28122100998917,7721.526124135626,2759270400,0.0003,2250240,750080,17580,5860,b1abbdb0d53f6565f446bc5837d568aa7baa2cc0a9b9f53ac89138b3b7969e92,0,0.0
final-gcp-5000000,5000000,5000192,4883,3.6919679641723633,3.8051519989967346,44.93207922495459,3.5169902592897415,4.423238933086395,646.3524615829865,257.78678793697964,7736.014476921761,2804047872,0.0003,3750144,1250048,29298,9766,51268061828ed3b8a4b6de86fda1082ed6c61e0c795404766c4944b9d9f1b5ec,0,0.0
final-gcp-7500000,7500000,7499776,7324,3.8528025150299072,3.675048843026161,39.45058369603536,3.4217390716075897,4.2765540182590485,967.4336771269946,321.08121554400805,7752.237881848626,2804047872,0.0003,5624832,1874944,43944,14648,6a540fc2c057e5464c20bf237db367b858fb662a31e619348a0091788df0aad2,0,0.0
final-gcp-10000000,10000000,10000000,9766,3.882315158843994,3.6261813789606094,37.56908027416645,3.3660023659467697,4.204996973276138,1289.8535308259961,322.4198536990016,7752.818254950391,2804047872,0.0003,7500000,2500000,58594,19532,5a9f33ff95c0c0ad4f103abfe4de1db13dc52a82cdf8f4b3c8e6f1b746d16fc7,0,0.0
final-gcp-s-25m-15000000,15000000,15000192,14649,3.5445303916931152,3.515840247273445,33.64418548571227,3.2945263236761093,4.080166980624199,1949.6962219339493,659.8426911079532,7577.854642299806,2756554752,0.0003,11250144,3750048,87892,29298,cdea7e5fc721b7e05614cf2f1322106ab7dc8d2f2ac06095f76f89f1e9c930be,0,0.0
final-gcp-s-25m-20000000,20000000,20000384,19532,3.264993667602539,3.4569482058286667,31.720025663457637,3.2331393361091614,4.014301776885986,2611.223257990896,661.5270360569466,7568.195179903653,2835464192,0.0003,15000288,5000096,117190,39064,cb391d9bd860ff83ed4a215006ee24f6afb10c0164f7f7e82755eb1d3f4e4c2b,0,0.0
final-gcp-s-25m-25000000,25000000,25000000,24415,3.940894603729248,3.4008999168872833,29.991077383901626,3.194565072655678,3.9471863955259323,3275.9273013519705,664.7040433610745,7552.589547581373,2869112832,0.0003,18750000,6250000,146488,48830,ec834e8016c52cead167e75ab37be4570a0e0e316f5e3f7a4e42d12d909e8e5c,0,0.0
