model,parameters,training_tokens,train_loss,validation_loss,validation_perplexity,wall_seconds,tokens_per_second,peak_rss_bytes,co4_l_validation_loss_at_equal_tokens,status
Dense-16M,15582400,262144,4.911379337310791,4.82104766368866,124.09503255985229,185.02023700199788,1416.8396076434024,1743306752,4.693476,pruned_at_1m_clear_equal_token_dominance
Dense-16M,15582400,524288,4.699092864990234,4.452202573418617,85.81575148782117,371.41553369199755,1411.594164596181,1743306752,4.359533,pruned_at_1m_clear_equal_token_dominance
Dense-16M,15582400,786432,4.442909240722656,4.247209474444389,69.91005410480278,558.7774579049983,1407.4154010230436,1743306752,4.127844,pruned_at_1m_clear_equal_token_dominance
Dense-16M,15582400,1048576,4.153639316558838,4.123672217130661,61.785716745653254,747.2813762410005,1403.187652386818,1743306752,3.99051,pruned_at_1m_clear_equal_token_dominance
